cel 9 9 2 0 -1
cel 5 4 3 5 -1
cel 6 6 3 1 0
cel 3 2 0 0 1
cel 5 5 0 0 1
cel 5 0 2 0 -1
cel 7 9 3 5 -1
cel 0 0 3 1 0
cel 0 14 0 0 1
cel 14 14 0 0 1
rob GILEAD_A.png 0 1 2
rob GILEAD_B.png 1 4 3
rob GILEAD_A.png 2 1 2
rob GILEAD_B.png 3 5 7
rob GILEAD_A.png 4 8 8
rob GILEAD_B.png 5 9 14
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
0 1 1 1 1
1 1 1 4 5
0 1 1 1 2
1 4 5 5 4
0 1 2 1 3
1 5 4 5 5
0 1 3 2 3
1 5 5 4 5
0 2 3 1 1
fim
